iter	Passed	Remaining
399	38352	57529
400	38450	57435
401	38543	57336
402	38636	57236
403	38731	57138
404	38825	57040
405	38918	56939
406	39016	56846
407	39111	56749
408	39207	56653
409	39303	56558
410	39398	56460
411	39490	56360
412	39588	56266
413	39684	56171
414	39775	56068
415	39867	55968
416	39960	55868
417	40058	55774
418	40151	55675
419	40245	55576
420	40339	55479
421	40434	55382
422	40530	55286
423	40624	55188
424	40718	55089
425	40812	54991
426	40905	54891
427	40998	54792
428	41105	54711
429	41197	54610
430	41293	54515
431	41387	54416
432	41483	54321
433	41575	54220
434	41670	54123
435	41768	54030
436	41867	53938
437	41961	53841
438	42056	53743
439	42149	53645
440	42248	53552
441	42340	53452
442	42432	53352
443	42526	53253
444	42621	53157
445	42716	53059
446	42808	52960
447	42902	52862
448	42996	52763
449	43096	52672
450	43190	52575
451	43287	52481
452	43382	52385
453	43480	52291
454	43575	52195
455	43670	52098
456	43759	51994
457	43856	51899
458	43951	51802
459	44044	51704
460	44138	51606
461	44230	51506
462	44326	51411
463	44424	51317
464	44517	51219
465	44612	51122
466	44710	51029
467	44808	50936
468	44897	50832
469	44989	50732
470	45085	50637
471	45179	50540
472	45272	50441
473	45364	50341
474	45463	50248
475	45561	50155
476	45656	50059
477	45751	49963
478	45844	49864
479	45935	49763
480	46029	49665
481	46122	49566
482	46216	49470
483	46309	49370
484	46406	49276
485	46497	49176
486	46587	49074
487	46685	48981
488	46781	48886
489	46878	48792
490	46971	48693
491	47066	48597
492	47158	48498
493	47253	48400
494	47346	48303
495	47440	48205
496	47536	48110
497	47635	48018
498	47729	47920
499	47817	47817
500	47909	47718
501	48001	47618
502	48096	47522
503	48194	47429
504	48291	47335
505	48386	47239
506	48479	47141
507	48573	47043
508	48667	46946
509	48762	46850
510	48857	46753
511	48951	46657
512	49043	46557
513	49136	46459
514	49230	46362
515	49328	46269
516	49423	46173
517	49517	46076
518	49608	45976
519	49704	45881
520	49800	45785
521	49893	45687
522	49988	45591
523	50083	45495
524	50174	45395
525	50266	45297
526	50364	45203
527	50457	45105
528	50553	45010
529	50649	44915
530	50745	44820
531	50840	44724
532	50931	44624
533	51028	44530
534	51121	44432
535	51215	44336
536	51311	44240
537	51407	44145
538	51502	44049
539	51593	43950
540	51685	43851
541	51781	43756
542	51874	43658
543	51968	43561
544	52060	43463
545	52155	43367
546	52248	43269
547	52342	43172
548	52434	43074
549	52527	42976
550	52625	42883
551	52718	42786
552	52810	42687
553	52906	42592
554	53004	42498
555	53096	42400
556	53191	42304
557	53285	42208
558	53379	42111
559	53469	42011
560	53561	41913
561	53653	41815
562	53747	41719
563	53841	41622
564	53943	41531
565	54038	41436
566	54132	41339
567	54226	41242
568	54318	41144
569	54414	41049
570	54507	40952
571	54599	40854
572	54696	40759
573	54795	40667
574	54891	40571
575	54986	40476
576	55079	40378
577	55171	40280
578	55260	40181
579	55352	40082
580	55448	39987
581	55541	39890
582	55637	39795
583	55728	39696
584	55823	39600
585	55918	39505
586	56008	39406
587	56103	39310
588	56201	39217
589	56300	39124
590	56395	39028
591	56486	38930
592	56576	38830
593	56671	38734
594	56765	38638
595	56857	38541
596	56950	38443
597	57044	38347
598	57138	38251
599	57230	38153
600	57322	38056
601	57413	37957
602	57513	37865
603	57604	37767
604	57698	37670
605	57788	37572
606	57883	37476
607	57975	37379
608	58069	37282
609	58165	37187
610	58263	37093
611	58354	36995
612	58446	36898
613	58537	36800
614	58631	36704
615	58727	36609
616	58822	36513
617	58918	36419
618	59010	36321
619	59105	36225
620	59200	36130
621	59297	36036
622	59390	35939
623	59484	35843
624	59580	35748
625	59674	35652
626	59766	35554
627	59861	35459
628	59956	35364
629	60047	35266
630	60137	35167
631	60233	35072
632	60333	34979
633	60423	34881
634	60516	34784
635	60609	34688
636	60704	34592
637	60795	34495
638	60887	34398
639	60982	34302
640	61076	34206
641	61175	34113
642	61270	34018
643	61362	33920
644	61458	33825
645	61551	33729
646	61647	33634
647	61739	33537
648	61831	33440
649	61925	33344
650	62022	33250
651	62116	33154
652	62210	33058
653	62306	32963
654	62407	32871
655	62499	32774
656	62600	32681
657	62695	32586
658	62787	32489
659	62879	32392
660	62973	32296
661	63070	32202
662	63166	32107
663	63260	32011
664	63354	31915
665	63450	31820
666	63547	31726
667	63640	31629
668	63734	31534
669	63829	31438
670	63921	31341
671	64011	31243
672	64107	31148
673	64199	31052
674	64294	30956
675	64387	30860
676	64480	30763
677	64573	30667
678	64665	30570
679	64757	30474
680	64848	30376
681	64945	30282
682	65041	30187
683	65136	30092
684	65233	29997
685	65326	29901
686	65419	29805
687	65512	29708
688	65609	29614
689	65706	29520
690	65802	29425
691	65896	29329
692	65993	29235
693	66118	29153
694	66217	29059
695	66309	28962
696	66405	28868
697	66500	28772
698	66590	28674
699	66683	28578
700	66776	28482
701	66870	28386
702	66962	28290
703	67060	28195
704	67153	28099
705	67247	28003
706	67341	27908
707	67433	27811
708	67527	27715
709	67619	27619
710	67713	27523
711	67808	27428
712	67901	27332
713	67997	27237
714	68097	27143
715	68198	27050
716	68291	26954
717	68385	26859
718	68480	26763
719	68571	26666
720	68667	26571
721	68762	26476
722	68857	26381
723	68948	26284
724	69043	26189
725	69136	26092
726	69231	25997
727	69328	25903
728	69420	25806
729	69512	25710
730	69604	25613
731	69695	25517
732	69788	25420
733	69881	25325
734	69975	25229
735	70069	25133
736	70160	25036
737	70257	24942
738	70349	24846
