iter	Logloss
0	0.6922554403
1	0.6911203319
2	0.6902088352
3	0.689271264
4	0.688287729
5	0.6875096268
6	0.6865050175
7	0.6858008267
8	0.6849716848
9	0.6842897752
10	0.6835040643
11	0.6827391859
12	0.6820401828
13	0.6813929342
14	0.6808520432
15	0.6802381494
16	0.6795707189
17	0.6790047816
18	0.6783990915
19	0.6778026858
20	0.6772382483
21	0.6767341521
22	0.6763216207
23	0.6758293988
24	0.6754214757
25	0.6749187233
26	0.6743850139
27	0.6738718381
28	0.6734448168
29	0.6730688621
30	0.6726712981
31	0.6722313436
32	0.6718102358
33	0.6714668283
34	0.6710352046
35	0.6706614732
36	0.6702089708
37	0.6698998669
38	0.6695875997
39	0.6692401289
40	0.6688669806
41	0.6684645279
42	0.668091154
43	0.667751658
44	0.6673950591
45	0.6670655963
46	0.6667588411
47	0.6664425964
48	0.6661211163
49	0.6658020001
50	0.6655162653
51	0.6651942206
52	0.664885873
53	0.6645533241
54	0.6642366894
55	0.6639155451
56	0.6636273632
57	0.6633496708
58	0.6630448232
59	0.662770611
60	0.6624860744
61	0.6622069294
62	0.6619608407
63	0.6616501861
64	0.6613775456
65	0.6611130051
66	0.660883816
67	0.6605572385
68	0.6603027743
69	0.6600491217
70	0.6597764965
71	0.6595167945
72	0.6593006735
73	0.6590985182
74	0.6588590842
75	0.6586336539
76	0.6584028352
77	0.6581390702
78	0.6578925412
79	0.6576856994
80	0.6574935818
81	0.657229728
82	0.6569989188
83	0.6567454728
84	0.6565257056
85	0.6563022119
86	0.6560921768
87	0.6558660111
88	0.6556674545
89	0.6554722255
90	0.6552754925
91	0.6550700271
92	0.6548347146
93	0.6546244672
94	0.6544365717
95	0.6542634229
96	0.6540113328
97	0.6538183363
98	0.6536156234
99	0.6534179972
100	0.6532236323
101	0.6530346416
102	0.6527974666
103	0.6525984604
104	0.6523742228
105	0.6521720771
106	0.6519394531
107	0.6517763164
108	0.6515777997
109	0.6513871173
110	0.6511802625
111	0.6509648519
112	0.6507710032
113	0.650557453
114	0.6503971568
115	0.6502180261
116	0.6500270886
117	0.6498047168
118	0.6496569456
119	0.6494814889
120	0.6493100907
121	0.6491204672
122	0.6489126162
123	0.6487279319
124	0.648547228
125	0.6483554119
126	0.6481763285
127	0.6480044891
128	0.6478162289
129	0.6476326236
130	0.6474711445
131	0.6472664378
132	0.6470806559
133	0.6468995739
134	0.6467239816
135	0.6465797023
136	0.6464057207
137	0.6462493305
138	0.646109101
139	0.6459437375
140	0.6457470793
141	0.6455506037
142	0.6454078831
143	0.6452145115
144	0.6450562173
145	0.6448921953
146	0.6447290603
147	0.6445897313
148	0.6444158303
149	0.6442722518
150	0.6440833263
151	0.6439149341
152	0.6437683113
153	0.643621478
154	0.6434972368
155	0.6433505186
156	0.6432025112
157	0.6430664905
158	0.642931551
159	0.6427699335
160	0.6425839918
161	0.6424418694
162	0.642282097
163	0.6421709303
164	0.64201056
165	0.6418706435
166	0.6417193396
167	0.6415963765
168	0.6414351759
169	0.6412748332
170	0.6411141815
171	0.6409459661
172	0.640783132
173	0.640633164
174	0.6405089003
175	0.6403341491
176	0.6401845099
177	0.6400283964
178	0.6398706679
179	0.6397176367
180	0.6396002142
181	0.6394578198
182	0.6392915499
183	0.6391255877
184	0.6390067625
185	0.6388697148
186	0.6386843315
187	0.6385236917
188	0.6383939049
189	0.6382149472
190	0.6380583788
191	0.6379219156
192	0.6378019976
193	0.6376388705
194	0.6374985953
195	0.6373393356
196	0.6371978132
197	0.6370228382
198	0.636842405
199	0.6367137894
200	0.636515797
201	0.6363690186
202	0.6362422608
203	0.6360891009
204	0.6359447021
205	0.6358242891
206	0.6356653641
207	0.6355187755
208	0.6353766033
209	0.6352352851
210	0.6350711799
211	0.6349112463
212	0.6347590012
213	0.6346102395
214	0.6344629682
215	0.634313196
216	0.634121936
217	0.6339494016
218	0.6338121144
219	0.6336678052
220	0.6335127414
221	0.633364455
222	0.6331916617
223	0.633036189
224	0.6328870001
225	0.632732693
226	0.6325589124
227	0.6323890169
228	0.6322325037
229	0.6320690161
230	0.6318936843
231	0.6317242213
232	0.6315373653
233	0.6313615049
234	0.6311906599
235	0.6310297915
236	0.6308916524
237	0.6307408505
238	0.630552015
239	0.6303588453
240	0.6301762544
241	0.6299982568
242	0.6298205099
243	0.6296555687
244	0.6294454555
245	0.6292644264
246	0.6290890824
247	0.6289101731
248	0.6287001096
249	0.6285233369
250	0.6283289085
251	0.6281396935
252	0.6279527595
253	0.6277532635
254	0.6275664939
255	0.6273886517
256	0.6271782457
257	0.6270113804
258	0.6268130005
259	0.6266343983
260	0.6264409747
261	0.6262849131
262	0.6261147129
263	0.6259156509
264	0.6257308991
265	0.6255452848
266	0.6253455841
267	0.6251690788
268	0.624980743
269	0.6248108142
270	0.6246341953
271	0.6244560279
272	0.6242571166
273	0.6240527957
274	0.6238852763
275	0.6236876752
276	0.6235039317
277	0.6233282795
278	0.6231540019
279	0.6229635123
280	0.6227514491
281	0.6225566176
282	0.6223834288
283	0.6221886978
284	0.6219822563
285	0.6217888978
286	0.6216057829
287	0.6214252242
288	0.6212603578
289	0.621057843
290	0.620864104
291	0.6206977237
292	0.6205178084
293	0.6203433474
294	0.6201666399
295	0.6199813512
296	0.6197973686
297	0.6196232938
298	0.6194429101
299	0.6192502269
300	0.619048613
301	0.6188601469
302	0.6186841642
303	0.6185157396
304	0.6183410691
305	0.618167775
306	0.6179875996
307	0.6177949091
308	0.6176332697
309	0.6174643769
310	0.6172605747
311	0.6170741967
312	0.6168583475
313	0.6166796012
314	0.616501991
315	0.6163252752
316	0.6161286525
317	0.6159626372
318	0.615766833
319	0.6155767078
320	0.6154108848
321	0.6152381788
322	0.6150486382
323	0.6148511349
324	0.6146727915
325	0.614495273
326	0.6143076476
327	0.6141229054
328	0.6139391685
329	0.6137559606
330	0.6136044623
331	0.6134199376
332	0.6132175336
333	0.6130405608
334	0.6128534711
335	0.6126745171
336	0.6124902647
